r,G(r),G_err(r)
1.036902905418704250e+02,1.329385091498543336e-01,2.654648991930869811e-02
1.041224545413253821e+02,1.340953005057341774e-01,2.685819912627164519e-02
1.045507426304713192e+02,1.304927817857080563e-01,2.669141578137353837e-02
1.049751548093082363e+02,1.318460567357024882e-01,2.666620295871521135e-02
1.053956910778361618e+02,1.300210523872144253e-01,2.644185979174464365e-02
1.058123514360550530e+02,1.299633712840614908e-01,2.665181124955795858e-02
1.062251358839649384e+02,1.271510572570680453e-01,2.659253111847799042e-02
1.066340444215658039e+02,1.271843165706220136e-01,2.695977833750557925e-02
1.070390770488576635e+02,1.264885444205968434e-01,2.673477878567448451e-02
1.074402337658405031e+02,1.253788580252153950e-01,2.658783763388387206e-02
1.078375145725143369e+02,1.266743024089016234e-01,2.653749548331222827e-02
1.082309194688791649e+02,1.213190207945492594e-01,2.699610312897812031e-02
1.086204484549349729e+02,1.231826142333855012e-01,2.700502167813205109e-02
1.090061015306817751e+02,1.204444947509881736e-01,2.688449452260545727e-02
1.093878786961195431e+02,1.219283083108979177e-01,2.659973616516494999e-02
1.097657799512483194e+02,1.191723080832281928e-01,2.689708705630991514e-02
1.101398052960680616e+02,1.178629778153205410e-01,2.718392211881132114e-02
1.105099547305788121e+02,1.175291796336695449e-01,2.685148990692337242e-02
1.108762282547805427e+02,1.168192223722921697e-01,2.731548740976928041e-02
1.112386258686732532e+02,1.161872106246753522e-01,2.645439283587822099e-02
1.115971475722569721e+02,1.126782173410540572e-01,2.793012650231058158e-02
1.119517933655316568e+02,1.146706966320748255e-01,2.680990502276802551e-02
1.123025632484973357e+02,1.126663545960181895e-01,2.745439761008281257e-02
1.126494572211539946e+02,1.105061196041393912e-01,2.811463000087768144e-02
1.129924752835016477e+02,1.117713117325044303e-01,2.667660372853418449e-02
1.133316174355402808e+02,1.099644768744661577e-01,2.775768293430652678e-02
1.136668836772699080e+02,1.066913881512717710e-01,2.844546499374857318e-02
1.139982740086905153e+02,1.084087554264824699e-01,2.659623308784506493e-02
1.143257884298021168e+02,1.068436773243448545e-01,2.831866961980993372e-02
1.146494269406047124e+02,1.037649491607950392e-01,2.803012989170822894e-02
1.149691895410982738e+02,1.057876130981859758e-01,2.697263910968696748e-02
1.152850762312828294e+02,1.033808730348391297e-01,2.826592989491975155e-02
1.155970870111583793e+02,1.003782776018265072e-01,2.724171816615412328e-02
1.159052218807249091e+02,1.026718268082506963e-01,2.775933800363272405e-02
1.162094808399824331e+02,9.770741286347260635e-02,2.830558644823046380e-02
1.165098638889309370e+02,9.968426020010025257e-02,2.650105784015484994e-02
1.168063710275704494e+02,9.712729919363333186e-02,2.807028133540829737e-02
1.170990022559009276e+02,9.630961754246181172e-02,2.849745525147093575e-02
1.173877575739223857e+02,9.689653936299380543e-02,2.560846192346304465e-02
1.176726369816348523e+02,9.169638436552535188e-02,2.981164754018916785e-02
1.179536404790382846e+02,9.457938041456490086e-02,2.705197906091711194e-02
1.182307680661327254e+02,9.216507266034923429e-02,2.701614593342049897e-02
1.185040197429181319e+02,9.021407093648790843e-02,2.822160870397684429e-02
1.187733955093945468e+02,8.998841871628890376e-02,2.811824084338158947e-02
1.190388953655619275e+02,9.146612003409210212e-02,2.664338510282220768e-02
1.193005193114203166e+02,8.789575379136552180e-02,2.804191867324064974e-02
1.195582673469696715e+02,8.508121523432489453e-02,2.849231653989466040e-02
1.198121394722100206e+02,8.841178463860713266e-02,2.653353349266827574e-02
1.200621356871413639e+02,8.663661871569404427e-02,2.702302522590810732e-02
1.203082559917636871e+02,8.292036419156065263e-02,2.870164564215902173e-02
1.205505003860770046e+02,8.228836470725736651e-02,2.835088865522514615e-02
1.207888688700813020e+02,8.502027374547958816e-02,2.646978708749149478e-02
1.210233614437765937e+02,8.412138295601907789e-02,2.663019564730442421e-02
1.212539781071628653e+02,7.650234064854401217e-02,3.080012672788502368e-02
1.214807188602401311e+02,8.338652911687473301e-02,2.641142298873679767e-02
1.217035837030083769e+02,8.244452653934802866e-02,2.763315511747939032e-02
1.219225726354676027e+02,8.036487878904222115e-02,2.734545625142473235e-02
