r,G(r),G_err(r)
1.176726369816348523e+02,5.403254924278577676e-01,3.885864174721610081e-02
1.179536404790382846e+02,5.442946495648933736e-01,3.888919872107192421e-02
1.182307680661327254e+02,5.451070319271834608e-01,3.921384178725017405e-02
1.185040197429181319e+02,5.383279516165065948e-01,3.917773785109666951e-02
1.187733955093945468e+02,5.414327518210843015e-01,3.947797853368288645e-02
1.190388953655619275e+02,5.432771949899283248e-01,3.958992530801932336e-02
1.193005193114203166e+02,5.377035385291291103e-01,3.982007114210065618e-02
1.195582673469696715e+02,5.364830030331175781e-01,4.031430421498152783e-02
1.198121394722100206e+02,5.399165908697852734e-01,4.039732897783275545e-02
1.200621356871413639e+02,5.413907621595589470e-01,4.046879530106777673e-02
1.203082559917636871e+02,5.325417576053248503e-01,4.030100317087383782e-02
1.205505003860770046e+02,5.362804521856127105e-01,4.131639761466320004e-02
1.207888688700813020e+02,5.391347987437768996e-01,4.097612049313643229e-02
1.210233614437765937e+02,5.361969274625469906e-01,4.082056081807048514e-02
1.212539781071628653e+02,5.295372533529334458e-01,4.113607406141493034e-02
1.214807188602401311e+02,5.350790740817330526e-01,4.149401825044948811e-02
1.217035837030083769e+02,5.379565902483776085e-01,4.125664159546359178e-02
1.219225726354676027e+02,5.309321213508136905e-01,4.128474045113742635e-02
1.221376856576178227e+02,5.292076862025261175e-01,4.199792323813534428e-02
1.223489227694590369e+02,5.338806059204272980e-01,4.127727999247639973e-02
1.225562839709912311e+02,5.345393754906062611e-01,4.223661513029822179e-02
1.227597692622144194e+02,5.368462607468946768e-01,4.147320413176223963e-02
1.229593786431285878e+02,5.244546813984485301e-01,4.173846415804149945e-02
1.231551121137337503e+02,5.312969649212635481e-01,4.240200995852602683e-02
1.233469696740298929e+02,5.328970468714459008e-01,4.196177220337794084e-02
1.235349513240170154e+02,5.327198317503751834e-01,4.274449052587111358e-02
1.237190570636951321e+02,5.266644966997338084e-01,4.174606962890312079e-02
1.238992868930642430e+02,5.250723936167542849e-01,4.235186487834046581e-02
1.240756408121243339e+02,5.306598945246512322e-01,4.218408362971350078e-02
1.242481188208754190e+02,5.323307575061319019e-01,4.236226065219119569e-02
1.244167209193174841e+02,5.305724392241999432e-01,4.270127436407911148e-02
1.245814471074505292e+02,5.251751439439892311e-01,4.204552264320183391e-02
1.247422973852745685e+02,5.225436567303244351e-01,4.223560493816370942e-02
1.248992717527896019e+02,5.256903384494029385e-01,4.253255858622124325e-02
1.250523702099956154e+02,5.296965447474141220e-01,4.277940336990918718e-02
1.252015927568926088e+02,5.311324216791557529e-01,4.307546573319961936e-02
1.253469393934805964e+02,5.346704156172201738e-01,4.138794342630261469e-02
1.254884101197595783e+02,5.174055696148968098e-01,4.307387742973800560e-02
1.256260049357295401e+02,5.237092617747409751e-01,4.234858335031622262e-02
1.257597238413904819e+02,5.263009921801000690e-01,4.262139717549268819e-02
1.258895668367424179e+02,5.236148895053747143e-01,4.314346488077264868e-02
1.260155339217853481e+02,5.313554559471366234e-01,4.161923049660440355e-02
1.261376250965192440e+02,5.291989194394657314e-01,4.246889064119361429e-02
1.262558403609441484e+02,5.326865167738098483e-01,4.182579416947439926e-02
1.263701797150600328e+02,5.177133654645863503e-01,4.278445261188924820e-02
1.264806431588668971e+02,5.113417622734964807e-01,4.290736530297981077e-02
1.265872306923647557e+02,5.270301874360435734e-01,4.318196420551728004e-02
1.266899423155536084e+02,5.235741799295757781e-01,4.195395023956133979e-02
1.267887780284334411e+02,5.289509574109869661e-01,4.293904018940893769e-02
1.268837378310042538e+02,5.268377990223797047e-01,4.324956892049198337e-02
1.269748217232660608e+02,5.247754333856037290e-01,4.146256726239088558e-02
1.270620297052188477e+02,5.297913879532498704e-01,4.305780578394746011e-02
1.271453617768626287e+02,5.298161233493472455e-01,4.150125917601804604e-02
1.272248179381974040e+02,5.273582056661102468e-01,4.306324361417786240e-02
